seed,private,auxiliary,private_counts,auxiliary_counts
0,37462,12538,"[7228, 5676, 24558]","[2496, 1554, 8488]"
1,37370,12630,"[7301, 5314, 24755]","[2423, 1916, 8291]"
2,37509,12491,"[7122, 5553, 24834]","[2602, 1677, 8212]"
3,37403,12597,"[7227, 5479, 24697]","[2497, 1751, 8349]"
4,37548,12452,"[7259, 5300, 24989]","[2465, 1930, 8057]"
5,37360,12640,"[7256, 5641, 24463]","[2468, 1589, 8583]"
6,37513,12487,"[7258, 5432, 24823]","[2466, 1798, 8223]"
7,37333,12667,"[7314, 5315, 24704]","[2410, 1915, 8342]"
8,37705,12295,"[7227, 5493, 24985]","[2497, 1737, 8061]"
9,37438,12562,"[7335, 5453, 24650]","[2389, 1777, 8396]"
