architecture,seed,method,run_tag,effective_mode,requested_mode,dev_bal_acc,test_bal_acc,dev_macro_f1,test_macro_f1,student_init_hash,student_loaded_hash,paired_reused,teacher_cache_id,teacher_global_health
bs,0,hakd,s_hakd,hakd,hakd,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
bs,0,hard,s0_hard,hard,hard,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
bs,0,kd,s_kd,kd,kd,0.25,0.25833333333333336,0.1,0.11680017319766182,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
bs,0,tcrd,s_tcrd,hard,tcrd,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,fb1be6150e3e6012b5af4ce9e70285ea460847114e4ddffbcd18351b6ca1b5f0,True,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
bs,1,hakd,s_hakd,hakd,hakd,0.26666666666666666,0.25,0.1407231369886267,0.133665680012463,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
bs,1,hard,s_hard,hard,hard,0.26666666666666666,0.275,0.15873015873015872,0.17110239529345847,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
bs,1,kd,s_kd,kd,kd,0.25,0.24166666666666667,0.1048951048951049,0.10211267605633803,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
bs,1,tcrd,s_tcrd,hard,tcrd,0.26666666666666666,0.275,0.15873015873015872,0.17110239529345847,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,52fc3a893a891076a23a6faecdf5d43a4f859d0a8cc624b7b1bf7061aa4f9dc7,True,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
bs,2,hakd,s_hakd,hakd,hakd,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
bs,2,hard,s_hard,hard,hard,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
