utterance_id,speaker_id,route_split,source_split,source_row_indices,variants_averaged
Ses01F_impro01_F000,Ses01F,private,test,0,1
Ses01F_impro01_F001,Ses01F,private,train,0;4424;8848,3
Ses01F_impro01_F002,Ses01F,private,train,1;4425;8849,3
Ses01F_impro01_F005,Ses01F,private,train,2;4426;8850,3
Ses01F_impro01_F012,Ses01F,private,train,3;4427;8851,3
Ses01F_impro01_F014,Ses01F,private,train,4;4428;8852,3
Ses01F_impro01_M011,Ses01M,private,dev,0,1
Ses01F_impro01_M013,Ses01M,private,train,5;4429;8853,3
Ses01F_impro02_F000,Ses01F,private,train,6;4430;8854,3
Ses01F_impro02_F001,Ses01F,private,train,7;4431;8855,3
Ses01F_impro02_F002,Ses01F,private,test,1,1
Ses01F_impro02_F003,Ses01F,private,train,8;4432;8856,3
Ses01F_impro02_F004,Ses01F,private,train,9;4433;8857,3
Ses01F_impro02_F005,Ses01F,private,train,10;4434;8858,3
Ses01F_impro02_F006,Ses01F,private,train,11;4435;8859,3
Ses01F_impro02_F008,Ses01F,private,train,12;4436;8860,3
Ses01F_impro02_F010,Ses01F,private,train,13;4437;8861,3
Ses01F_impro02_F012,Ses01F,private,train,14;4438;8862,3
Ses01F_impro02_F013,Ses01F,private,train,15;4439;8863,3
Ses01F_impro02_F014,Ses01F,private,train,16;4440;8864,3
Ses01F_impro02_F015,Ses01F,private,train,17;4441;8865,3
Ses01F_impro02_F016,Ses01F,private,test,2,1
Ses01F_impro02_F017,Ses01F,private,train,18;4442;8866,3
Ses01F_impro02_F018,Ses01F,private,train,19;4443;8867,3
Ses01F_impro02_F019,Ses01F,private,train,20;4444;8868,3
Ses01F_impro02_F020,Ses01F,private,train,21;4445;8869,3
Ses01F_impro02_M001,Ses01M,private,train,22;4446;8870,3
Ses01F_impro02_M005,Ses01M,private,train,23;4447;8871,3
Ses01F_impro02_M009,Ses01M,private,test,3,1
Ses01F_impro02_M010,Ses01M,private,train,24;4448;8872,3
Ses01F_impro02_M011,Ses01M,private,train,25;4449;8873,3
Ses01F_impro02_M012,Ses01M,private,train,26;4450;8874,3
Ses01F_impro02_M013,Ses01M,private,train,27;4451;8875,3
Ses01F_impro02_M014,Ses01M,private,train,28;4452;8876,3
Ses01F_impro02_M015,Ses01M,private,train,29;4453;8877,3
Ses01F_impro03_F000,Ses01F,private,train,30;4454;8878,3
Ses01F_impro03_F001,Ses01F,private,train,31;4455;8879,3
Ses01F_impro03_F002,Ses01F,private,train,32;4456;8880,3
Ses01F_impro03_F004,Ses01F,private,test,4,1
