,,health_seconds,health_seconds,health_seconds,routing_seconds,routing_seconds,routing_seconds,query_seconds,query_seconds,query_seconds,student_seconds,student_seconds,student_seconds,selection_seconds,selection_seconds,selection_seconds,total_seconds,total_seconds,total_seconds,peak_cuda_mb,peak_cuda_mb,peak_cuda_mb,incremental_peak_cuda_mb,incremental_peak_cuda_mb,incremental_peak_cuda_mb
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
backend,mode,,,,,,,,,,,,,,,,,,,,,,,,
mel,hakd,0.012385544729315572,6.801730282799664e-05,9,2.8748375674088797e-06,1.0484103025370382e-07,9,0.018615095565716427,0.0006410890439216862,9,0.8031462849014335,0.023881312384161996,9,2.9040190080801645e-06,1.1183774641168577e-07,9,0.8341969961507453,0.02444983535140462,9,389.1624348958333,0.4426489696718627,9,364.0227864583333,0.4426489696718627,9
mel,hard,0.0,0.0,9,2.688831753200955e-06,9.742141007459e-08,9,0.0,0.0,9,0.7269420844709708,0.017099077703263202,9,2.828012737962935e-06,1.1174280850795462e-07,9,0.7269847722103199,0.017098778633695206,9,389.1604817708333,0.4426489696718627,9,364.0208333333333,0.4426489696718627,9
mel,kd,0.0,0.0,9,2.759870969586902e-06,1.1009757791120739e-07,9,0.01956171842498912,0.000664404111755757,9,0.7297526993271377,0.01910520672563989,9,2.836860302421782e-06,1.5902033729512678e-07,9,0.7493631112803187,0.01975993628235088,9,389.1619466145833,0.4426489696718627,9,364.0222981770833,0.4426489696718627,9
mel,rc_tcrd,0.031026304854700964,0.00042636548790480917,9,1.8408832450707752e-05,7.064388683745379e-07,9,0.0,0.0,9,0.7255714564170275,0.017760754098658085,9,2.846535709169176e-06,1.3698209464070017e-07,9,0.7566608628775511,0.01793906999138528,9,389.1609700520833,0.4426489696718627,9,364.0213216145833,0.4426489696718627,9
mel,s_bacc,0.012388448593103223,8.777523860996056e-05,9,2.7377261883682677e-06,1.265866138341381e-07,9,0.018630784522328112,0.0006167499977915266,9,2.2545798637179866,0.054947059149296984,9,0.03315803796673814,0.00021834672180896726,9,2.318875417423745,0.05569552155811616,9,389.4119466145833,0.11254882812500001,9,364.2722981770833,0.11254882812500001,9
mel,tcrd,0.012400773043433825,8.113029640514597e-05,9,3.5458037422762977e-06,1.8885121730385395e-07,9,0.0,0.0,9,0.7256661830987368,0.01822102583128788,9,2.836084200276269e-06,1.277680535350436e-07,9,0.7381120018867983,0.018218442586879276,9,389.1609700520833,0.4426489696718627,9,364.0213216145833,0.4426489696718627,9
ssl,hakd,0.005871283925241894,4.485193570195445e-05,9,2.583695782555474e-06,7.181914395708113e-08,9,0.005659589285237921,0.0002406324538807008,9,0.2916766072416471,0.007626499477007323,9,2.7988312972916497e-06,5.735502132867706e-07,9,0.3032402331009507,0.007893334395264007,9,18.140625,0.0873057934991816,9,0.88134765625,0.08730579349918155,9
ssl,hard,0.0,0.0,9,3.0430447724130418e-06,1.4241432562091014e-06,9,0.0,0.0,9,0.21381962397653195,0.004921896185932027,9,2.546960281001197e-06,1.3330303882366094e-07,9,0.21384641202166677,0.004922185515637894,9,18.139485677083332,0.08706206675008864,9,0.8802083333333334,0.08706206675008854,9
ssl,kd,0.0,0.0,9,2.483526865641276e-06,1.2076438673289193e-07,9,0.0062991225471099215,0.0002550655868744667,9,0.26917226172776687,0.006797419505525349,9,2.6005630691846213e-06,1.1107876382742174e-07,9,0.2755016336321003,0.007039906750958304,9,18.14013671875,0.0873057934991816,9,0.880859375,0.08730579349918155,9
ssl,rc_tcrd,0.024508413289570145,0.00014330406390190378,9,1.8403554956118267e-05,8.485028781768125e-07,9,0.0,0.0,9,0.21215099898270434,0.005662022424519253,9,2.602632674905989e-06,9.441316891503967e-08,9,0.23670605554555854,0.005524722386340311,9,18.139973958333332,0.08706206675008864,9,0.8806966145833334,0.08706206675008854,9
ssl,s_bacc,0.005841599311679602,2.5400049270757485e-05,9,2.551047752300898e-06,8.87338324261058e-08,9,0.005680776045968135,0.00023476337093640903,9,0.7641515292020308,0.017095512095254853,9,0.014108613857792484,6.354426626237345e-05,9,0.7898421586077247,0.017329766878021773,9,18.140625,0.0873057934991816,9,0.88134765625,0.08730579349918155,9
ssl,tcrd,0.005847062967303727,5.4011392043768124e-05,9,3.3498120804627738e-06,2.0246281257722427e-07,9,0.0,0.0,9,0.21254341578524974,0.004955603567595971,9,2.603460517194536e-06,1.5744748475624438e-07,9,0.2184195503489011,0.004928008694217666,9,18.139973958333332,0.08706206675008864,9,0.8806966145833334,0.08706206675008854,9
