seed,mode,teacher_cache_id,student_init_hash,student_test_bal_acc,student_test_macro_f1,student_test_maj_pred
0,instance,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,0.25833333333333336,0.1880652065894584,0.5416666666666666
0,uniform,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,0.25,0.1,1.0
0,confidence,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,0.29166666666666663,0.20347378153480386,0.6916666666666667
0,class,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,0.325,0.2736899527764208,0.49166666666666664
1,instance,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,0.24166666666666667,0.1215125460607124,0.9083333333333333
1,uniform,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,0.25,0.1,1.0
1,confidence,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,0.20833333333333331,0.12150568729516098,0.8583333333333333
1,class,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,0.20833333333333331,0.11458333333333333,0.85
2,instance,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,0.21666666666666665,0.1813121118012422,0.6833333333333333
2,uniform,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,0.18333333333333332,0.08208955223880597,0.8666666666666667
2,confidence,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,0.2583333333333333,0.231392219703149,0.5083333333333333
2,class,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackmel_tmodelcnn_mel_featmel_sr16000_m32_L80_dsaf1_eta1e-05_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,0.19999999999999998,0.14686234817813765,0.75
