weighting,n,mode_counts,bal_acc_mean,bal_acc_sd,macro_f1_mean,macro_f1_sd,maj_pred_mean,maj_pred_sd,delta_bal_vs_equal_mean,delta_bal_vs_equal_sd,delta_mf1_vs_equal_mean,delta_mf1_vs_equal_sd,delta_maj_vs_equal_mean,delta_maj_vs_equal_sd,negative_transfer_g0,negative_transfer_g005
anti_majority_only,3,hakd:1;hard:2,0.2416666666666667,0.016666666666666677,0.1374073660283532,0.04390347107693014,0.7666666666666666,0.21714690367992306,-0.013888888888888876,0.024056261216234387,-0.005598481966768394,0.009696855211700994,-0.05000000000000001,0.08660254037844388,1,1
bal_only,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bias_anti_majority,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bias_bal,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bias_mf1,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
equal,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
leave_anti_majority,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
leave_bal,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
leave_mf1,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
mf1_only,3,hard:3,0.25555555555555554,0.03938179688543839,0.1430058479951216,0.053594447419204376,0.8166666666666668,0.1445779297741456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
